wellID	condition	group	media	sugar	concentration	supplement	expID	date	contamination	pH	inoculation_growth_time	plate_growth_time	species	strain	strain_origin_date	passage	lab_person	time	OD600
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	8.75	-0.006666666666666654
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	6.75	0.003333333333333327
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	9	-0.006666666666666654
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	11.5	-0.006666666666666654
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	22.25	-0.026666666666666672
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	18.25	-0.016666666666666663
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	16.25	-0.016666666666666663
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	9.75	-0.006666666666666654
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	21	-0.026666666666666672
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	12.25	-0.016666666666666663
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	1.5	0.003333333333333327
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	3.75	0.003333333333333327
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	6.25	0.003333333333333327
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	4.25	0.003333333333333327
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	21.75	-0.026666666666666672
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	22	-0.026666666666666672
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	19.75	-0.016666666666666663
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	0.5	0.003333333333333327
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	3	0.003333333333333327
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	20.5	-0.016666666666666663
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	5.25	0.003333333333333327
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	7.75	-0.006666666666666654
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	14.5	-0.016666666666666663
A1	BMAA_l_lac	BMAA_l_lac	BMAA	l_lactate	35	NA	BMAA_plate3_upd_conc	2025-08-26T00:00:00Z	NA	7	48	24	A. hadrus	CM02_02	2025-08-08T00:00:00Z	2	MS	12.5	-0.016666666666666663
